step_id	route_id	step_order	transformation	substrate	product	enzyme_role	evidence_need	candidate_search_width	required_output	notes
S001	R001	1	lysine_to_cadaverine	L-lysine	cadaverine	lysine_decarboxylase_or_related_decarboxylase	public_literature_and_domain_review	wide	enzyme_draft_board	Early public-context row; no raw query sequences stored.
S002	R001	2	cadaverine_to_delta1_piperideine	cadaverine	delta1_piperideine	copper_amine_oxidase_or_diamine_oxidase	literature_accession_and_compartment_review	wide	enzyme_draft_board	CAO/DAO evidence must preserve source context and localization caveats.
S003	R001	3	piperideine_to_pelletierine_like_intermediate	delta1_piperideine	pelletierine_like_intermediate	PKSIII_or_spontaneous_condensation	chemistry_decomposition_and_literature_review	frontier	unknown_step_ledger	Preserve non-enzymatic and multi-step explanations.
S004	R001	4	pelletierine_like_to_phlegmarine_like_scaffold	pelletierine_like_intermediate	phlegmarine_like_scaffold	C-N_coupling_or_multi_gene_module	dark_step_resolver	frontier	unknown_step_ledger	Do not collapse this to a single gene without evidence.
S005	R001	5	phlegmarine_like_to_lycodane_scaffold	phlegmarine_like_scaffold	lycodane_scaffold	oxidative_cyclization_or_rearrangement_module	dark_step_resolver	frontier	pathway_inference_ledger	Central dark-step stress case for this public demo.
S006	R002	1	mine_lycophyte_tailoring_families	lycodane_or_related_scaffold	huperzine_A_precursor	2OGD_CYP_MAO_or_dehydrogenase_family	evidence_and_counterevidence_review	frontier	enzyme_draft_board	Family rows are prioritization hypotheses, not activity claims.
S007	R002	2	resolve_final_tailoring_to_huperzine_A	huperzine_A_precursor	huperzine A	oxidoreductase_methyltransferase_or_unknown_tailoring	route_and_step_discovery	frontier	unknown_gene_hypothesis_ledger	Final-tailoring claim ceiling remains low until direct evidence exists.
S008	R003	1	compare_endophyte_amino_oxidation_claims	cadaverine_or_related_amine	delta1_piperideine_or_related_imine	endophyte_CAO_or_DAO_comparator	source_context_review	medium	pathway_inference_ledger	Endophyte comparator cannot be treated as lycophyte target evidence.
S009	R004	1	score_host_fit_only_after_evidence	candidate_set	host_ranked_candidate_set	host_fit_review	host_fit_and_analytics_readiness	medium	host_fit_scorecard	Host fit is review-only; no expression, construct, or assay recipe.
S010	R005	1	red_team_complete_pathway_claims	claimed_route_set	reviewed_claim_set	red_team_module	claim_boundary_and_negative_controls	medium	claim_ledger	Blocks fake complete-route narratives in public demos.
