step_id	route_id	step_order	transformation	substrate	product	enzyme_role	evidence_need	candidate_search_width	required_output	notes
S001	R002	1	increase_fpp_or_sesquiterpene_precursor_flux	central_carbon	farnesyl_diphosphate	host_flux_module	host_fit	medium	host_fit_scorecard	Host-native engineering context only; no strain-design claim in this scaffold.
S002	R002	2	cyclize_fpp_to_valencene	farnesyl_diphosphate	(+)-valencene	valencene_synthase	literature_accession_and_phylogeny	wide	enzyme_draft_board	Search terpene synthase diversity and known CnVS-like seeds; review product stereochemistry.
S003	R002	3	oxidize_valencene_to_nootkatol_or_nootkatone	(+)-valencene	nootkatol_or_nootkatone	valencene_oxidase_P450	substrate_specificity_and_host_fit	frontier	enzyme_draft_board	P450 lane; score CPR pairing, ER membrane fit, overoxidation, and side products.
S004	R002	4	oxidize_nootkatol_to_nootkatone	nootkatol	(+)-nootkatone	SDR_or_dehydrogenase	substrate_and_route_stitching	wide	enzyme_draft_board	Dehydrogenase support lane for routes where P450 mainly yields nootkatol.
S005	R002	5	pair_P450_with_electron_transfer_partner	P450_candidate	reduced_active_P450	CPR_or_redox_partner	host_fit	medium	enzyme_draft_board	Assess CPR compatibility and expression burden; not a product-forming step alone.
S006	R001	1	convert_fed_valencene_to_nootkatone	(+)-valencene	(+)-nootkatone	fed_substrate_bioconversion_module	literature_and_substrate	wide	route_stitching_scorecard	Clear validation-handoff route; focus on oxidation candidates and side-product profile.
S007	R003	1	mine_alternate_valencene_synthases	farnesyl_diphosphate	(+)-valencene	terpene_synthase_diversity	literature_accession_phylogeny	frontier	enzyme_draft_board	Diversity-library lane for terpene synthases beyond canonical seeds.
S008	R003	2	mine_alternate_valencene_oxidases	(+)-valencene	nootkatol_or_nootkatone	P450_or_oxidase_diversity	domain_substrate_and_phylogeny	frontier	enzyme_draft_board	NCBI-wide search candidate lane; compress aggressively before evidence review.
S009	R005	1	evaluate_P450_localization_and_fusions	P450_candidate	yeast_expressed_P450	P450_construct_or_fusion_design	host_fit_and_design_risk	wide	route_stitching_scorecard	Score N-terminal signal peptides, membrane topology, CPR fusions, and linker risk.
S010	R005	2	evaluate_product_tolerance_or_recovery	(+)-nootkatone	measurable_or_recovered_product	host_tolerance_or_export_module	host_fit	medium	validation_roadmap	Product handling and analytics readiness; not an enzyme discovery lane by default.
S011	R004	1	split_hydroxylation_and_dehydrogenation	(+)-valencene	(+)-nootkatone	two_step_oxidation_module	route_and_step_discovery	frontier	unknown_step_ledger	Resolve whether best route is one P450, P450 plus SDR, or alternate oxidase/dehydrogenase pairing.
S012	R004	2	red_team_oxidation_claims	claimed_candidate_set	reviewed_candidate_set	red_team_module	red_team	medium	red_team_report	Check overclaims, side products, homolog-only evidence, and target-host assumptions.
