resource	resource_type	version	license_class	use_mode	redistribution_policy	citation_or_url	notes
UniProt	protein_database	review_before_run	open-data-with-terms	remote_or_local_database	no-bulk-redistribution-without-review	https://www.uniprot.org/	Use public accessions and derived summaries only.
NCBI_Datasets	genome_protein_accession_tool	review_before_run	open-data-with-terms	local_or_remote_tool	no-bulk-redistribution-without-review	https://www.ncbi.nlm.nih.gov/datasets/	Use accession-stable public records; no private sequences.
NCBI_ElasticBLAST	cloud_blast_execution	review_before_run	public-cloud-service	aws_or_gcp_compute	no-secrets-in-repo	https://blast.ncbi.nlm.nih.gov/doc/elastic-blast/	Wide NCBI BLAST database escalation lane; requires AWS safety controls and explicit operator approval before submit.
NCBI_BLAST_cloud_databases	blast_database	review_before_run	public-data-with-terms	cloud_near_data	no-bulk-redistribution-without-review	https://registry.opendata.aws/ncbi-blast-databases/	Use for nr/refseq/swissprot ElasticBLAST searches; record database listing date and cloud provider in provenance.
Pfam	protein_family_database	review_before_run	open-data-with-terms	local_or_remote_database	attribution-required	https://www.ebi.ac.uk/interpro/	Use for terpene synthase, P450, SDR, CPR, and transporter domain checks.
Rhea	reaction_database	review_before_run	open-data-with-terms	local_or_remote_database	attribution-required	https://www.rhea-db.org/	Use for reaction normalization where represented.
MetaNetX	reaction_cross_reference	review_before_run	open-data-with-terms	local_or_remote_database	attribution-required	https://www.metanetx.org/	Use for cross-database reaction mapping and identifiers after review.
PubMed	literature_index	review_before_run	public-metadata	remote_search	no-fulltext-redistribution	https://pubmed.ncbi.nlm.nih.gov/	Use metadata and citations; do not copy full articles.
Microbial_Cell_Factories_nootkatone_yeast	literature	review_before_run	open-access-article	citation_and_claim_boundary	no-large-content-copy	https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-020-1295-6	External report of nootkatone pathway engineering in yeast; use for benchmark claims only after review.
Valencene_oxidase_CYP706M1	literature	review_before_run	publisher-terms	citation_and_claim_boundary	no-large-content-copy	https://research.wur.nl/en/publications/valencene-oxidase-cyp706m1-from-alaska-cedar-callitropsis-nootkat/	Seed evidence for CnVO/CYP706M1-like valencene oxidation.
Alpinia_oxyphylla_nootkatone_pathway	literature	review_before_run	public-metadata	citation_and_claim_boundary	no-large-content-copy	https://pubmed.ncbi.nlm.nih.gov/37933426/	Recent pathway reconstruction reference; use for source-enzyme candidate families.
