intake_id	input_area	prompt	default_assumption	operator_answer	confirmation_status	required_before	planning_can_proceed	skip_allowed	notes
OI001	target	Confirm the target product for this campaign.	(+)-nootkatone	(+)-nootkatone	confirmed	planning	true	true	Public demo target; not a production claim.
OI002	host	Confirm the target host context for planning.	Saccharomyces cerevisiae	Saccharomyces cerevisiae	confirmed	planning	true	true	Yeast is the demo host for route and host-fit review.
OI003	scope	Confirm whether this run is planning only or live execution.	planning_only	planning_only	confirmed	planning	true	true	No RunPod, AWS, BLAST, genome mining, or biological search is executed by the demo scaffold.
OI004	data_policy	Confirm data boundary for public demo artifacts.	public_open_summaries_only	public_open_summaries_only	confirmed	execution	true	true	No raw FASTA/GFF/BLAST output/private sequence data enters the repo.
OI005	provider	Confirm compute provider path for future heavy lanes.	RunPod is one reviewed optional path; AWS ElasticBLAST is reviewed escalation; no live execution now.	RunPod is one reviewed optional path; AWS ElasticBLAST is reviewed escalation; no live execution now.	assumed	execution	true	true	Execution still requires separate operator approval and provider readiness.
OI006	budget	Confirm spend boundary before live cloud work.	no live spend; first scout budgets stay under reviewed ledger caps	no live spend; first scout budgets stay under reviewed ledger caps	assumed	execution	true	true	Budget assumption permits planning only and blocks live execution until reviewed.
OI007	success_criteria	Confirm what a successful planning output means.	ranked route and candidate intelligence with claim boundaries	ranked route and candidate intelligence with claim boundaries	assumed	claim_closeout	true	true	Planning success is not target-host production or wet-lab validation.
OI008	claim_boundary	Confirm claim boundary for nootkatone recommendations.	candidate and hypothesis language only unless joined evidence supports stronger claims	candidate and hypothesis language only unless joined evidence supports stronger claims	confirmed	claim_closeout	true	true	Use claim ledger and final self-check before stronger language.
OI009	unknowns	Confirm ambiguity policy for P450/SDR/CPR and alternate route uncertainty.	preserve dark steps, weird candidates, counterevidence, and cheapest next discriminating step	preserve dark steps, weird candidates, counterevidence, and cheapest next discriminating step	assumed	planning	true	true	Dark Step Resolver lanes should split uncertainty rather than forcing one obvious homolog.
OI010	inputs	Confirm whether missing external target evidence blocks planning.	external target evidence is declared but not materialized; planning can proceed	external target evidence is declared but not materialized; planning can proceed	assumed	execution	true	true	Target evidence blocks live evidence-joined claims, not route planning.
